# KRName IVSes
9ECE FE00; Standardized_Variants;CID+46937
9F8D FE00; Standardized_Variants;CID+47367
9F9C FE00; Standardized_Variants;CID+63003
9F9C FE01; Standardized_Variants;CID+63003
# Unicode Version 12.0 SVSes
3001 FE00; Standardized_Variants;CID+1404
3001 FE01; Standardized_Variants;CID+63052
3002 FE00; Standardized_Variants;CID+1405
3002 FE01; Standardized_Variants;CID+63053
FF01 FE00; Standardized_Variants;CID+63054
FF01 FE01; Standardized_Variants;CID+58975
FF0C FE00; Standardized_Variants;CID+58986
FF0C FE01; Standardized_Variants;CID+63055
FF0E FE00; Standardized_Variants;CID+58988
FF0E FE01; Standardized_Variants;CID+63056
FF1A FE00; Standardized_Variants;CID+63057
FF1A FE01; Standardized_Variants;CID+59000
FF1B FE00; Standardized_Variants;CID+63058
FF1B FE01; Standardized_Variants;CID+59001
FF1F FE00; Standardized_Variants;CID+63059
FF1F FE01; Standardized_Variants;CID+59005
# EOF
